Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.5,1177911019,3,392637006.3,316763.0,280990,1177313266,679549574.9,cudaMallocHost
32.6,603662122,40000,15091.6,13595.0,9856,489503,6244.8,cudaLaunchKernel
2.1,39075505,3,13025168.3,44425.0,37555,38993525,22489256.8,cudaMemcpyAsync
1.0,18703938,5,3740787.6,3796.0,1209,18692972,8358525.3,cudaDeviceSynchronize
0.4,7904733,12,658727.8,68296.0,5618,4772107,1446173.3,cudaFree
0.3,5682357,4,1420589.3,1759320.0,337662,1826055,723989.5,cuLibraryLoadData
0.0,570385,8,71298.1,9748.0,4129,304800,107813.1,cudaMalloc
0.0,236682,810,292.2,257.0,119,1113,143.4,cuGetProcAddress_v2
0.0,53883,1,53883.0,53883.0,53883,53883,0.0,cudaMemcpy
0.0,20599,18,1144.4,612.0,368,10407,2322.3,cudaEventCreateWithFlags
0.0,17119,18,951.1,513.0,300,7424,1631.3,cudaEventDestroy
0.0,14100,1,14100.0,14100.0,14100,14100,0.0,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,8849,14,632.1,465.5,441,2722,602.3,cudaOccupancyMaxActiveClusters_v11070
0.0,6123,3,2041.0,384.0,214,5525,3018.4,cuModuleGetLoadingMode
0.0,5690,3,1896.7,1752.0,1401,2537,581.7,cuInit
0.0,4716,4,1179.0,1217.5,944,1337,166.5,cuLibraryGetKernel
0.0,1287,2,643.5,643.5,455,832,266.6,cudaGetDriverEntryPoint_v11030
