model,mode,batch_size,fp32,amp,fp16
vgg16,Base,64,1778.5926535129547,2033.4728553295135,0.0
vgg16,Base,512,1008.119992017746,1023.1235113143921,0.0
vgg16,Base,1024,1029.4208135604858,1044.2898292541504,913.0479145050049
vgg16,CC,64,2150.578640460968,2484.0739765167236,0.0
vgg16,CC,512,1088.4865019321442,1088.6478171348572,0.0
vgg16,CC,1024,1135.697940826416,1131.4584562778473,1000.7668421268463
resnet50,Base,64,3528.921851158142,3718.455843925476,0.0
resnet50,Base,512,2205.8968181610107,1623.1196196079254,0.0
resnet50,Base,1024,2190.447335243225,1597.4891221523285,1425.7243611812592
resnet50,CC,64,4619.487441301346,5153.003830194473,0.0
resnet50,CC,512,2289.3536055088043,1662.7138113975525,0.0
resnet50,CC,1024,2340.241238594055,1662.7403151988983,1513.125648021698
mobilenetv2,Base,64,3320.8237693309784,3793.042621612549,0.0
mobilenetv2,Base,512,1147.0356183052063,1090.3411853313446,0.0
mobilenetv2,Base,1024,1121.9311225414276,1041.4491896629333,981.3877034187317
mobilenetv2,CC,64,4335.607227087021,5230.521635770798,0.0
mobilenetv2,CC,512,1180.240061044693,1168.9660050868988,0.0
mobilenetv2,CC,1024,1172.9862987995148,1088.8067734241486,1075.126324415207
squeezenet,Base,64,2116.498093366623,2517.795198202133,0.0
squeezenet,Base,512,931.5090856552124,936.7455265522003,0.0
squeezenet,Base,1024,933.6809422969818,947.7236030101776,924.9009644985199
squeezenet,CC,64,2734.129908323288,3272.1261398792267,0.0
squeezenet,CC,512,979.9521660804749,981.2015554904938,0.0
squeezenet,CC,1024,1014.9806084632874,1020.6007564067841,980.515867471695
attention92,Base,64,13596.203238010406,16600.037657499313,0.0
attention92,Base,512,3591.6987643241882,3345.536474943161,0.0
attention92,Base,1024,3509.3038659095764,2967.392598390579,2096.3916692733765
attention92,CC,64,20858.584701776505,26104.762131214142,0.0
attention92,CC,512,3995.374840259552,4357.967778205872,0.0
attention92,CC,1024,3736.610407590866,3227.726315975189,2242.843637943268
inceptionv4,Base,64,11416.392876386642,10666.21363067627,0.0
inceptionv4,Base,512,9740.700103521347,7290.567542314529,0.0
inceptionv4,Base,1024,9766.378020524979,7293.523447751999,6984.191270112991
inceptionv4,CC,64,14133.99132180214,14160.249453544617,0.0
inceptionv4,CC,512,10135.80554986,7440.752428531647,0.0
inceptionv4,CC,1024,10099.154230833054,7391.050488948822,7042.043607234955
